CountyID,CountyName,Population5Over,PercentSpeakOnlyEnglish,PercentSpeakOnlyEnglishMarginOfError
4011,"Greenlee County, Arizona",7996,75.7,3
4012,"La Paz County, Arizona",19457,81.2,1.4
4013,"Maricopa County, Arizona",3610510,73.7,0.2
4015,"Mohave County, Arizona",191165,89.1,0.6
4017,"Navajo County, Arizona",98921,63.2,1.2
4019,"Pima County, Arizona",925414,71.5,0.4
4021,"Pinal County, Arizona",351135,78.1,0.7
4023,"Santa Cruz County, Arizona",43508,23.1,1.8
4025,"Yavapai County, Arizona",201991,89.6,0.7
4027,"Yuma County, Arizona",183890,48.8,0.8
5001,"Arkansas County, Arkansas",17775,97.2,0.7
5003,"Ashley County, Arkansas",20253,95.3,0.6
5005,"Baxter County, Arkansas",39424,97.5,0.6
5007,"Benton County, Arkansas",209849,84.5,0.6
5009,"Boone County, Arkansas",34923,97.5,1
5011,"Bradley County, Arkansas",10642,89.8,1.5
5013,"Calhoun County, Arkansas",5005,99.7,0.6
5015,"Carroll County, Arkansas",25949,86.4,1
5017,"Chicot County, Arkansas",10824,95,1
5019,"Clark County, Arkansas",21669,94.8,0.6
5021,"Clay County, Arkansas",14936,98.1,0.7
5023,"Cleburne County, Arkansas",24530,97.1,1
5025,"Cleveland County, Arkansas",8165,99.1,0.4
5027,"Columbia County, Arkansas",23071,95.3,0.8
5029,"Conway County, Arkansas",19931,95.5,1
5031,"Craighead County, Arkansas",91350,94.8,0.4
5033,"Crawford County, Arkansas",57719,93.4,0.7
5035,"Crittenden County, Arkansas",46498,97.1,0.6
5037,"Cross County, Arkansas",16619,98.8,0.5
5039,"Dallas County, Arkansas",7673,96.6,1.8
5041,"Desha County, Arkansas",11824,95.9,0.8
5043,"Drew County, Arkansas",17564,96.6,0.8
5045,"Faulkner County, Arkansas",107845,95.2,0.5
5047,"Franklin County, Arkansas",16988,98.2,1
5049,"Fulton County, Arkansas",11661,98.5,1.1
5051,"Garland County, Arkansas",91143,94.4,0.7
5053,"Grant County, Arkansas",16809,96.9,0.9
5055,"Greene County, Arkansas",39745,97.5,0.6
5057,"Hempstead County, Arkansas",20810,89.7,1.1
5059,"Hot Spring County, Arkansas",31202,98.3,0.4
5061,"Howard County, Arkansas",12799,87.6,2.5
5063,"Independence County, Arkansas",34351,95.7,1
5065,"Izard County, Arkansas",12963,97.5,0.9
5067,"Jackson County, Arkansas",16786,98.3,0.5
5069,"Jefferson County, Arkansas",71019,96.9,0.5
5071,"Johnson County, Arkansas",23858,87.9,1.5
5073,"Lafayette County, Arkansas",7107,98.8,0.9
5075,"Lawrence County, Arkansas",16255,98.6,0.5
5077,"Lee County, Arkansas",9694,99,0.7
5079,"Lincoln County, Arkansas",13458,96.7,0.9
5081,"Little River County, Arkansas",12252,97,0.9
5083,"Logan County, Arkansas",20826,97.4,0.7
5085,"Lonoke County, Arkansas",64506,97.5,0.5
5087,"Madison County, Arkansas",14672,95.3,1.3
5089,"Marion County, Arkansas",15871,98.1,0.7
5091,"Miller County, Arkansas",40373,96.8,0.7
5093,"Mississippi County, Arkansas",42470,95.8,0.8
5095,"Monroe County, Arkansas",7499,98.5,0.8
5097,"Montgomery County, Arkansas",8909,96.2,0.9
5099,"Nevada County, Arkansas",8390,97.3,1.2
5101,"Newton County, Arkansas",7785,99.1,0.5
5103,"Ouachita County, Arkansas",23885,98.4,0.4
5105,"Perry County, Arkansas",9788,99.2,0.7
5107,"Phillips County, Arkansas",19606,98.1,0.8
5109,"Pike County, Arkansas",10570,94.5,1
5111,"Poinsett County, Arkansas",22779,97.7,0.7
5113,"Polk County, Arkansas",19296,95.3,0.7
5115,"Pope County, Arkansas",58138,93.1,0.7
5117,"Prairie County, Arkansas",8133,99.2,0.5
5119,"Pulaski County, Arkansas",359000,92.1,0.3
5121,"Randolph County, Arkansas",16796,98.4,0.5
5123,"St. Francis County, Arkansas",26049,94.1,1.1
5125,"Saline County, Arkansas",102936,95.7,0.7
5127,"Scott County, Arkansas",10454,90.6,1.9
5129,"Searcy County, Arkansas",7696,98.5,0.9
5131,"Sebastian County, Arkansas",117556,85.5,0.7
5133,"Sevier County, Arkansas",15697,71.4,1.3
5135,"Sharp County, Arkansas",16343,96.6,1
5137,"Stone County, Arkansas",11835,98.7,0.9
5139,"Union County, Arkansas",38598,96,0.6
5141,"Van Buren County, Arkansas",16300,97.2,1.1
5143,"Washington County, Arkansas",192358,82,0.6
5145,"White County, Arkansas",72695,95.7,0.6
5147,"Woodruff County, Arkansas",6756,99.5,0.4
5149,"Yell County, Arkansas",20509,80.9,1
6001,"Alameda County, California",1437726,56.9,0.3
6003,"Alpine County, California",1122,90.1,4.3
6005,"Amador County, California",36132,90.4,1.2
6007,"Butte County, California",208297,86.4,0.5
6009,"Calaveras County, California",43301,93,1.2
6011,"Colusa County, California",19596,53.7,1.9
6013,"Contra Costa County, California",999645,66.7,0.4
6015,"Del Norte County, California",26537,84.7,1.8
6017,"El Dorado County, California",172000,87.5,0.7
6019,"Fresno County, California",860123,56.3,0.5
6021,"Glenn County, California",26017,63.9,1.7
6023,"Humboldt County, California",127149,90.3,0.8
6025,"Imperial County, California",161089,25.5,0.8
6027,"Inyo County, California",17387,85.1,1.6
6029,"Kern County, California",775294,57.9,0.5
6031,"Kings County, California",139092,57.2,1.1
6033,"Lake County, California",60717,85.8,1.1
6035,"Lassen County, California",32500,82.3,1.2
6037,"Los Angeles County, California",9247301,43.2,0.2
6039,"Madera County, California",139475,55.9,1.1
6041,"Marin County, California",241085,77,0.7
6043,"Mariposa County, California",17324,91.4,1.7
6045,"Mendocino County, California",82361,78.8,0.9
6047,"Merced County, California",236786,47.5,1.1
6049,"Modoc County, California",8969,87.2,2.8
6051,"Mono County, California",13380,77.6,3.2
6053,"Monterey County, California",387506,47.4,0.6
6055,"Napa County, California",129798,65,1.2
6057,"Nevada County, California",94271,92.3,0.8
6059,"Orange County, California",2859603,54.5,0.2
6061,"Placer County, California",335197,85,0.6
6063,"Plumas County, California",18575,90.3,1.8
6065,"Riverside County, California",2067363,60.1,0.3
6067,"Sacramento County, California",1334860,68.8,0.4
6069,"San Benito County, California",52069,61.4,1.8
6071,"San Bernardino County, California",1899465,58.9,0.3
6073,"San Diego County, California",2931562,62.6,0.2
6075,"San Francisco County, California",780888,55,0.4
6077,"San Joaquin County, California",639313,60.1,0.6
6079,"San Luis Obispo County, California",258631,82,0.6
6081,"San Mateo County, California",683368,54,0.5
6083,"Santa Barbara County, California",399470,59.8,0.4
6085,"Santa Clara County, California",1688748,48.8,0.3
6087,"Santa Cruz County, California",249686,69,0.8
6089,"Shasta County, California",167655,91.3,0.6
6091,"Sierra County, California",3015,90.6,3
6093,"Siskiyou County, California",42120,90.3,0.9
6095,"Solano County, California",390682,70.4,0.6
6097,"Sonoma County, California",459962,74.5,0.5
6099,"Stanislaus County, California",478720,59.3,0.6
6101,"Sutter County, California",87829,63,1.1
6103,"Tehama County, California",58972,81.2,1.2
6105,"Trinity County, California",13023,92.8,2.1
6107,"Tulare County, California",405633,50.8,0.7
6109,"Tuolumne County, California",52445,92.4,0.7
6111,"Ventura County, California",774168,62.2,0.5
6113,"Yolo County, California",190063,65.3,1
6115,"Yuba County, California",66364,75.3,1.7
8001,"Adams County, Colorado",414409,71.6,0.7
8003,"Alamosa County, Colorado",14767,77.4,3.1
8005,"Arapahoe County, Colorado",544932,77.9,0.5
8007,"Archuleta County, Colorado",11606,89.3,2.2
8009,"Baca County, Colorado",3523,94.8,1.2
8011,"Bent County, Colorado",5873,82.2,2.8
8013,"Boulder County, Colorado",284837,83.5,0.6
8014,"Broomfield County, Colorado",53326,86.2,1.3
8015,"Chaffee County, Colorado",17305,93.7,1.1
8017,"Cheyenne County, Colorado",2019,88.6,5.3
8019,"Clear Creek County, Colorado",8649,95.7,1.7
8021,"Conejos County, Colorado",7662,65.5,2.5
8023,"Costilla County, Colorado",3344,49.9,5
8025,"Crowley County, Colorado",5439,85.3,2.7
8027,"Custer County, Colorado",4125,94.1,3.6
8029,"Delta County, Colorado",29045,90.2,1.2
8031,"Denver County, Colorado",575159,73.1,0.5
8033,"Dolores County, Colorado",1644,97.9,1.6
8035,"Douglas County, Colorado",271976,91.2,0.4
8037,"Eagle County, Colorado",48561,70.4,1.2
8039,"Elbert County, Colorado",22229,94.8,1.1
8041,"El Paso County, Colorado",589049,88.4,0.5
8043,"Fremont County, Colorado",44803,89,1.1
8045,"Garfield County, Colorado",52326,75.2,1.2
8047,"Gilpin County, Colorado",5263,95.7,2.4
8049,"Grand County, Colorado",13801,90.4,3.1
8051,"Gunnison County, Colorado",14522,90.8,1.8
8053,"Hinsdale County, Colorado",745,90.9,4
8055,"Huerfano County, Colorado",6415,85.1,3.5
8057,"Jackson County, Colorado",1339,93,4.7
8059,"Jefferson County, Colorado",510824,89.7,0.4
8061,"Kiowa County, Colorado",1305,96,2.8
8063,"Kit Carson County, Colorado",7679,84.8,2
8065,"Lake County, Colorado",6760,71.2,6
8067,"La Plata County, Colorado",49183,90.3,1.1
8069,"Larimer County, Colorado",288452,91,0.5
8071,"Las Animas County, Colorado",14325,85.6,1.9
8073,"Lincoln County, Colorado",5184,89.1,2.4
8075,"Logan County, Colorado",21464,89.5,2.6
8077,"Mesa County, Colorado",137694,91.8,0.7
8079,"Mineral County, Colorado",750,96.8,2.3
8081,"Moffat County, Colorado",12444,89.5,2.2
8083,"Montezuma County, Colorado",23939,86.6,1.5
8085,"Montrose County, Colorado",38555,86.7,1.5
8087,"Morgan County, Colorado",26181,73.5,2
8089,"Otero County, Colorado",17641,81.5,2
8091,"Ouray County, Colorado",4339,93.6,1.9
8093,"Park County, Colorado",15469,96.2,1.2
8095,"Phillips County, Colorado",4060,80.2,4.7
8097,"Pitkin County, Colorado",16358,83.5,2.9
8099,"Prowers County, Colorado",11526,73.9,2.9
8101,"Pueblo County, Colorado",149752,85.4,0.9
8103,"Rio Blanco County, Colorado",6300,90,2.3
8105,"Rio Grande County, Colorado",11145,75,3.2
8107,"Routt County, Colorado",22225,95.3,1.2
8109,"Saguache County, Colorado",5772,65.3,2.3
8111,"San Juan County, Colorado",625,94.4,4.7
8113,"San Miguel County, Colorado",7066,90,1.5
8115,"Sedgwick County, Colorado",2220,89.7,3.3
8117,"Summit County, Colorado",26601,84.8,1.6
8119,"Teller County, Colorado",22282,94.9,1.1
8121,"Washington County, Colorado",4541,94.5,1.5
8123,"Weld County, Colorado",238870,81.5,0.7
8125,"Yuma County, Colorado",9303,84.5,2.8
9001,"Fairfield County, Connecticut",870328,71.8,0.4
9003,"Hartford County, Connecticut",845901,75.4,0.3
9005,"Litchfield County, Connecticut",179983,90.2,0.5
9007,"Middlesex County, Connecticut",157765,89.6,0.6
9009,"New Haven County, Connecticut",815148,78.6,0.4
9011,"New London County, Connecticut",259507,86.1,0.5
9013,"Tolland County, Connecticut",145699,89.4,0.7
9015,"Windham County, Connecticut",111835,87.2,0.5
10001,"Kent County, Delaware",153943,91.1,0.6
10003,"New Castle County, Delaware",509327,85.4,0.4
10005,"Sussex County, Delaware",189176,89.9,0.6
11001,"District of Columbia, District of Columbia",582879,84.2,0.3
12001,"Alachua County, Florida",236244,86.2,0.5
12003,"Baker County, Florida",25250,97.8,0.7
12005,"Bay County, Florida",160070,93.7,0.5
12007,"Bradford County, Florida",26312,97.1,0.7
12009,"Brevard County, Florida",519286,89.9,0.3
12011,"Broward County, Florida",1679692,62.2,0.4
12013,"Calhoun County, Florida",13917,94,1.5
12015,"Charlotte County, Florida",155876,89,0.7
12017,"Citrus County, Florida",134760,94.1,0.5
12019,"Clay County, Florida",181232,90.2,0.7
12021,"Collier County, Florida",311384,68.4,0.6
12023,"Columbia County, Florida",63483,92.8,0.9
12027,"DeSoto County, Florida",32514,70.8,1.4
12029,"Dixie County, Florida",15348,97.1,0.9
12031,"Duval County, Florida",812668,86.8,0.3
12033,"Escambia County, Florida",282110,92.1,0.5
12035,"Flagler County, Florida",92750,84.5,1.2
12037,"Franklin County, Florida",11051,92.7,1.2
12039,"Gadsden County, Florida",43721,90.5,0.9
12041,"Gilchrist County, Florida",16027,95.6,0.9
12043,"Glades County, Florida",12305,79.3,2.4
12045,"Gulf County, Florida",15204,95.4,1
12047,"Hamilton County, Florida",13916,91.2,0.9
12049,"Hardee County, Florida",25192,59.3,2
12051,"Hendry County, Florida",35284,55.2,2.1
12053,"Hernando County, Florida",165059,89.5,0.6
12055,"Highlands County, Florida",93359,81.1,0.9
12057,"Hillsborough County, Florida",1176161,73.6,0.3
12059,"Holmes County, Florida",18761,96.2,1
12061,"Indian River County, Florida",132953,85.7,0.6
12063,"Jackson County, Florida",46807,94.3,0.6
12065,"Jefferson County, Florida",13727,92.6,1.8
12067,"Lafayette County, Florida",8251,87.5,2.7
12069,"Lake County, Florida",284898,87.5,0.5
12071,"Lee County, Florida",601185,78.8,0.5
12073,"Leon County, Florida",263489,90.4,0.5
12075,"Levy County, Florida",38135,94,1.1
12077,"Liberty County, Florida",7901,91.9,2.8
12079,"Madison County, Florida",17931,93.1,1.4
12081,"Manatee County, Florida",311474,83.5,0.7
12083,"Marion County, Florida",316452,88.1,0.4
12085,"Martin County, Florida",141550,85.5,0.7
12086,"Miami-Dade County, Florida",2396514,27.8,0.2
12087,"Monroe County, Florida",70909,77.1,0.9
12089,"Nassau County, Florida",70093,96.3,0.7
12091,"Okaloosa County, Florida",173539,90.4,0.5
12093,"Okeechobee County, Florida",37061,75.7,1
12095,"Orange County, Florida",1100104,66.5,0.4
12097,"Osceola County, Florida",261418,52.2,0.9
12099,"Palm Beach County, Florida",1268614,71.6,0.4
12101,"Pasco County, Florida",442891,86.1,0.5
12103,"Pinellas County, Florida",877606,86.8,0.3
12105,"Polk County, Florida",571980,80.8,0.4
12107,"Putnam County, Florida",69211,91.1,0.7
12109,"St. Johns County, Florida",187019,91.9,0.6
12111,"St. Lucie County, Florida",264994,79.5,0.8
12113,"Santa Rosa County, Florida",146414,93.5,0.5
12115,"Sarasota County, Florida",368321,87,0.6
12117,"Seminole County, Florida",404260,81.2,0.5
12119,"Sumter County, Florida",96212,92.6,0.6
12121,"Suwannee County, Florida",40255,91.9,0.8
12123,"Taylor County, Florida",21272,94.2,1
12125,"Union County, Florida",14546,95.1,1.1
12127,"Volusia County, Florida",472134,87.3,0.4
12129,"Wakulla County, Florida",29046,94.9,1.1
12131,"Walton County, Florida",53348,92.5,0.8
12133,"Washington County, Florida",23402,95.5,1.2
13001,"Appling County, Georgia",17221,89.9,1.1
13003,"Atkinson County, Georgia",7627,79.5,1.1
13005,"Bacon County, Georgia",10403,91.4,1.1
13007,"Baker County, Georgia",3161,99.4,0.5
13009,"Baldwin County, Georgia",43374,96.3,0.5
13011,"Banks County, Georgia",17217,95.4,0.8
13013,"Barrow County, Georgia",64676,87.8,1
13015,"Bartow County, Georgia",93575,93.1,0.6
13017,"Ben Hill County, Georgia",16173,96.8,1.7
13019,"Berrien County, Georgia",17880,95.1,0.9
13021,"Bibb County, Georgia",144079,94.9,0.4
13023,"Bleckley County, Georgia",12287,96.8,1.9
13025,"Brantley County, Georgia",17119,98.3,1
13027,"Brooks County, Georgia",14892,93.2,1.3
13029,"Bryan County, Georgia",29162,95.6,1.1
13031,"Bulloch County, Georgia",67132,95,0.6
13033,"Burke County, Georgia",21546,97,0.7
13035,"Butts County, Georgia",22170,97,0.6
13037,"Calhoun County, Georgia",6272,91.5,4.6
13039,"Camden County, Georgia",46832,95.2,0.8
13043,"Candler County, Georgia",10304,90.6,2.5
13045,"Carroll County, Georgia",103516,92.3,0.5
13047,"Catoosa County, Georgia",60775,96.3,0.6
13049,"Charlton County, Georgia",12371,92.6,3.4
13051,"Chatham County, Georgia",252267,92,0.4
13053,"Chattahoochee County, Georgia",11012,86.1,2.1
13055,"Chattooga County, Georgia",24213,95.4,0.5
13057,"Cherokee County, Georgia",203011,87.6,0.9
13059,"Clarke County, Georgia",111819,86.5,0.7
13061,"Clay County, Georgia",2811,96.7,3.2
13063,"Clayton County, Georgia",240742,79.5,0.8
13065,"Clinch County, Georgia",6215,96.8,2
13067,"Cobb County, Georgia",651092,79.7,0.4
13069,"Coffee County, Georgia",39813,90.2,1.5
13071,"Colquitt County, Georgia",42000,82.9,1
13073,"Columbia County, Georgia",119739,90.5,0.9
13075,"Cook County, Georgia",15811,94,0.9
13077,"Coweta County, Georgia",120394,91.5,0.7
13079,"Crawford County, Georgia",11914,97.3,1.4
13081,"Crisp County, Georgia",21845,95.8,0.9
13083,"Dade County, Georgia",15689,98.2,0.8
13085,"Dawson County, Georgia",21153,95.2,1.3
13087,"Decatur County, Georgia",25802,96,1
13089,"DeKalb County, Georgia",648779,81.4,0.4
13091,"Dodge County, Georgia",20220,95.7,1.1
13093,"Dooly County, Georgia",13741,95.1,1.1
13095,"Dougherty County, Georgia",87120,96.3,0.4
13097,"Douglas County, Georgia",123960,88.1,0.8
13099,"Early County, Georgia",10062,98.5,0.8
13101,"Echols County, Georgia",3887,76.8,6.5
13103,"Effingham County, Georgia",49457,95.5,0.8
13105,"Elbert County, Georgia",18651,94.7,0.7
13107,"Emanuel County, Georgia",21061,95.3,0.9
13109,"Evans County, Georgia",10077,87.5,0.9
13111,"Fannin County, Georgia",22584,96.9,1.1
13113,"Fayette County, Georgia",102336,88.4,0.8
13115,"Floyd County, Georgia",89851,90.3,0.5
13117,"Forsyth County, Georgia",169671,81.9,0.7
13119,"Franklin County, Georgia",20766,95.1,0.8
13121,"Fulton County, Georgia",885052,83.3,0.3
13123,"Gilmer County, Georgia",26713,91,0.8
13125,"Glascock County, Georgia",2927,98.7,0.9
13127,"Glynn County, Georgia",75011,90.5,0.7
13129,"Gordon County, Georgia",51469,85.4,0.9
13131,"Grady County, Georgia",23572,91.4,0.9
13133,"Greene County, Georgia",15258,95.6,1.2
13135,"Gwinnett County, Georgia",763848,67,0.5
13137,"Habersham County, Georgia",40558,86.2,1.1
13139,"Hall County, Georgia",168962,73.8,0.6
13141,"Hancock County, Georgia",8736,97.6,1
13143,"Haralson County, Georgia",26784,98.3,0.5
13145,"Harris County, Georgia",30558,95.5,1
13147,"Hart County, Georgia",23770,97.2,0.8
13149,"Heard County, Georgia",10972,99.6,0.3
13151,"Henry County, Georgia",192923,89.8,0.6
13153,"Houston County, Georgia",132938,91.5,0.7
13155,"Irwin County, Georgia",8989,98.6,0.9
13157,"Jackson County, Georgia",56288,91.5,0.7
13159,"Jasper County, Georgia",12898,94.6,1.4
13161,"Jeff Davis County, Georgia",13865,90.7,1.3
13163,"Jefferson County, Georgia",15439,97.8,1
13165,"Jenkins County, Georgia",8243,95.9,2.3
13167,"Johnson County, Georgia",9403,98.1,0.7
13169,"Jones County, Georgia",26881,97.6,1.1
13171,"Lamar County, Georgia",17158,97.4,0.9
13173,"Lanier County, Georgia",9215,94.5,3.2
13175,"Laurens County, Georgia",44837,96.7,0.4
13177,"Lee County, Georgia",26754,94.6,1
13179,"Liberty County, Georgia",58131,89.1,0.9
13181,"Lincoln County, Georgia",7498,98.4,0.7
13183,"Long County, Georgia",13940,91.8,2.2
13185,"Lowndes County, Georgia",102972,94.3,0.6
13187,"Lumpkin County, Georgia",28859,95.5,1.6
13189,"McDuffie County, Georgia",20135,97.3,0.6
13191,"McIntosh County, Georgia",13559,97.3,1.4
13193,"Macon County, Georgia",13611,93.4,2.3
13195,"Madison County, Georgia",26350,95.1,0.7
13197,"Marion County, Georgia",8297,91,2.1
13199,"Meriwether County, Georgia",20372,98.3,0.6
13201,"Miller County, Georgia",5646,98.9,1.1
13205,"Mitchell County, Georgia",21766,96.3,0.9
13207,"Monroe County, Georgia",25145,97.3,0.6
13209,"Montgomery County, Georgia",8492,94.8,1
13211,"Morgan County, Georgia",16846,97.9,1.1
13213,"Murray County, Georgia",36867,86.9,1
13215,"Muscogee County, Georgia",180386,90.9,0.5
13217,"Newton County, Georgia",93464,93.8,0.7
13219,"Oconee County, Georgia",31384,92.6,1.2
13221,"Oglethorpe County, Georgia",13923,97,1.2
13223,"Paulding County, Georgia",133280,93.6,0.7
13225,"Peach County, Georgia",25768,90.5,1.8
13227,"Pickens County, Georgia",27934,96.1,0.8
13229,"Pierce County, Georgia",17337,95.1,0.9
13231,"Pike County, Georgia",16855,98.2,0.6
13233,"Polk County, Georgia",38217,86.9,0.9
13235,"Pulaski County, Georgia",11047,94.1,2.8
13237,"Putnam County, Georgia",20067,92,0.9
13239,"Quitman County, Georgia",2271,98.3,1.8
13241,"Rabun County, Georgia",15507,90.5,1.8
13243,"Randolph County, Georgia",6847,97.1,1.9
13245,"Richmond County, Georgia",186317,94.1,0.5
13247,"Rockdale County, Georgia",80035,88.7,0.9
13249,"Schley County, Georgia",4800,92.3,4.3
13251,"Screven County, Georgia",13485,98.2,0.9
13253,"Seminole County, Georgia",8305,98.4,0.7
13255,"Spalding County, Georgia",59499,95.1,0.8
13257,"Stephens County, Georgia",24350,97.1,1.2
13259,"Stewart County, Georgia",5762,85.2,2.5
13261,"Sumter County, Georgia",29808,92.8,0.8
13263,"Talbot County, Georgia",6380,97.2,1.3
13265,"Taliaferro County, Georgia",1655,97.4,2.8
13267,"Tattnall County, Georgia",23792,88.7,0.9
13269,"Taylor County, Georgia",8082,98.1,0.6
13271,"Telfair County, Georgia",15502,87.7,1
13273,"Terrell County, Georgia",8576,97.6,0.6
13275,"Thomas County, Georgia",41787,95.9,0.7
13277,"Tift County, Georgia",37660,88.3,0.9
13279,"Toombs County, Georgia",25036,90,1.4
13281,"Towns County, Georgia",10142,95.9,1.3
13283,"Treutlen County, Georgia",6396,98.8,0.7
13285,"Troup County, Georgia",63038,94.1,0.8
13287,"Turner County, Georgia",8241,95.6,0.8
13289,"Twiggs County, Georgia",8410,99.2,0.6
13291,"Union County, Georgia",20583,94.8,1.6
13293,"Upson County, Georgia",25292,97.4,0.8
13295,"Walker County, Georgia",64492,97.6,0.5
13297,"Walton County, Georgia",78898,93.6,1
13299,"Ware County, Georgia",33501,94.2,0.6
13301,"Warren County, Georgia",5373,98,1.9
13303,"Washington County, Georgia",19621,97.8,0.6
13305,"Wayne County, Georgia",28090,94.4,0.8
13307,"Webster County, Georgia",2611,98,2.1
13309,"Wheeler County, Georgia",7361,98.9,0.6
