Label name,UNHCR Country name,CIA country name,TopoJSON Name
Sierra Leone,Sierra Leone,Sierra Leone,
Singapore,Singapore,Singapore,
Slovakia,Slovakia,Slovakia,
Slovenia,Slovenia,Slovenia,
Solomon Islands,Solomon Islands,Solomon Islands,
Somalia,Somalia,Somalia,
South Africa,South Africa,South Africa,
South Korea,Rep. of Korea,"Korea, South","Korea, Republic of"
South Sudan,South Sudan,South Sudan,
Spain,Spain,Spain,
Sri Lanka,Sri Lanka,Sri Lanka,
Sudan,Sudan,Sudan,
Suriname,Suriname,Suriname,
Swaziland,Swaziland,Swaziland,
Sweden,Sweden,Sweden,
Switzerland,Switzerland,Switzerland,
Syria,Syrian Arab Rep.,Syria,Syrian Arab Republic
Tajikistan,Tajikistan,Tajikistan,
Tanzania,United Rep. of Tanzania,Tanzania,
Thailand,Thailand,Thailand,
Timor-Leste,Timor-Leste,Timor-Leste,
Togo,Togo,Togo,
Tonga,Tonga,Tonga,
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,
Tunisia,Tunisia,Tunisia,
Turkey,Turkey,Turkey,
Turkey,Turkey,Turkey,
Turkmenistan,Turkmenistan,Turkmenistan,
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,
Tuvalu,Tuvalu,Tuvalu,
Uganda,Uganda,Uganda,
Ukraine,Ukraine,Ukraine,
United Arab Emirates,United Arab Emirates,United Arab Emirates,
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,
United States,USA (EOIR),United States,
United States,USA (INS/DHS),United States,
United States,United States of America,United States,
Uruguay,Uruguay,Uruguay,
Uzbekistan,Uzbekistan,Uzbekistan,
Venezuela,Venezuela (Bolivarian Republic of),Venezuela,
Vietnam,Viet Nam,Vietnam,
Western Sahara,Western Sahara,Western Sahara,
Yemen,Yemen,Yemen,
Zambia,Zambia,Zambia,
Zimbabwe,Zimbabwe,Zimbabwe,
Palestine,Palestinian,,"Palestine, State of"
,Stateless,,
,Tibetan,,
,Various/unknown,,
,Rep. of Moldova,Moldova,"Moldova, Republic of"
