Id,City,population2010,population2014
1600000US3436000,"Jersey City, New Jersey",247597,262146
1600000US3451000,"Newark, New Jersey",277140,280577
1600000US3457000,"Paterson, New Jersey",146199,146746
1600000US3502000,"Albuquerque, New Mexico",545852,557172
1600000US3539380,"Las Cruces, New Mexico",97618,101405
1600000US3611000,"Buffalo, New York",261310,258699
1600000US3651000,"New York, New York",8175133,8491079
1600000US3663000,"Rochester, New York",210565,209974
1600000US3673000,"Syracuse, New York",145170,144263
1600000US3684000,"Yonkers, New York",195976,200665
1600000US3710740,"Cary town, North Carolina",135234,155724
1600000US3712000,"Charlotte, North Carolina",731424,809974
1600000US3719000,"Durham, North Carolina",228330,251872
1600000US3722920,"Fayetteville, North Carolina",200564,203939
1600000US3728000,"Greensboro, North Carolina",269666,282558
1600000US3731400,"High Point, North Carolina",104371,107957
1600000US3755000,"Raleigh, North Carolina",403892,439884
1600000US3774440,"Wilmington, North Carolina",106476,113676
1600000US3775000,"Winston-Salem, North Carolina",229617,239273
1600000US3825700,"Fargo, North Dakota",105549,116572
1600000US3901000,"Akron, Ohio",199110,197846
1600000US3915000,"Cincinnati, Ohio",296943,298162
1600000US3916000,"Cleveland, Ohio",396815,389524
1600000US3918000,"Columbus, Ohio",787033,836293
1600000US3921000,"Dayton, Ohio",141527,140995
1600000US3977000,"Toledo, Ohio",287208,281014
1600000US4009050,"Broken Arrow, Oklahoma",98850,106226
1600000US4052500,"Norman, Oklahoma",110925,118046
1600000US4055000,"Oklahoma City, Oklahoma",579999,620553
1600000US4075000,"Tulsa, Oklahoma",391906,399274
1600000US4123850,"Eugene, Oregon",156185,160552
1600000US4131250,"Gresham, Oregon",105594,109877
1600000US4159000,"Portland, Oregon",583776,619445
1600000US4164900,"Salem, Oregon",154637,161648
1600000US4202000,"Allentown, Pennsylvania",118032,119105
1600000US4260000,"Philadelphia, Pennsylvania",1526006,1560297
1600000US4261000,"Pittsburgh, Pennsylvania",305704,305434
1600000US4459000,"Providence, Rhode Island",178042,179142
1600000US4513330,"Charleston, South Carolina",120083,130750
1600000US4516000,"Columbia, South Carolina",129272,131758
1600000US4550875,"North Charleston, South Carolina",97471,107972
1600000US4659020,"Sioux Falls, South Dakota",153888,168604
1600000US4714000,"Chattanooga, Tennessee",167674,173778
1600000US4715160,"Clarksville, Tennessee",132929,146814
1600000US4740000,"Knoxville, Tennessee",178874,184292
1600000US4748000,"Memphis, Tennessee",646889,656876
1600000US4751560,"Murfreesboro, Tennessee",108755,120960
1600000US4752006,"Nashville-Davidson (balance), Tennessee",601222,644008
1600000US4801000,"Abilene, Texas",117063,120176
1600000US4803000,"Amarillo, Texas",190695,200246
1600000US4804000,"Arlington, Texas",365438,383202
1600000US4805000,"Austin, Texas",790390,912798
1600000US4807000,"Beaumont, Texas",118296,117576
1600000US4810768,"Brownsville, Texas",175023,183016
1600000US4813024,"Carrollton, Texas",119097,128342
1600000US4815976,"College Station, Texas",93857,103486
1600000US4817000,"Corpus Christi, Texas",305215,320431
1600000US4819000,"Dallas, Texas",1197816,1281031
1600000US4819972,"Denton, Texas",113383,128200
1600000US4824000,"El Paso, Texas",649121,679024
1600000US4827000,"Fort Worth, Texas",741206,812553
1600000US4827684,"Frisco, Texas",116989,145038
1600000US4829000,"Garland, Texas",226876,235597
1600000US4830464,"Grand Prairie, Texas",175396,185415
1600000US4835000,"Houston, Texas",2099451,2240796
1600000US4837000,"Irving, Texas",216290,232413
1600000US4839148,"Killeen, Texas",127921,138143
1600000US4841464,"Laredo, Texas",236091,253747
1600000US4842508,"Lewisville, Texas",95290,102283
1600000US4845000,"Lubbock, Texas",229573,243843
1600000US4845384,"McAllen, Texas",129877,138584
1600000US4845744,"McKinney, Texas",131117,156753
1600000US4847892,"Mesquite, Texas",139824,144289
1600000US4848072,"Midland, Texas",111147,128037
1600000US4853388,"Odessa, Texas",99940,116394
1600000US4856000,"Pasadena, Texas",149043,153914
1600000US4856348,"Pearland, Texas",91252,104759
1600000US4858016,"Plano, Texas",259841,277910
1600000US4861796,"Richardson, Texas",99223,108609
1600000US4863500,"Round Rock, Texas",99887,112196
1600000US4865000,"San Antonio, Texas",1327407,1436723
1600000US4872656,"The Woodlands, Texas",93847,102764
1600000US4874144,"Tyler, Texas",96900,101436
1600000US4876000,"Waco, Texas",124805,130191
1600000US4879000,"Wichita Falls, Texas",104553,105107
1600000US4962470,"Provo, Utah",112488,114807
1600000US4967000,"Salt Lake City, Utah",186440,190873
1600000US4982950,"West Jordan, Utah",103712,110917
1600000US4983470,"West Valley City, Utah",129480,134492
1600000US5101000,"Alexandria, Virginia",139966,150575
1600000US5103000,"Arlington, Virginia",207627,226908
1600000US5116000,"Chesapeake, Virginia",222209,233371
1600000US5135000,"Hampton, Virginia",137436,136879
1600000US5156000,"Newport News, Virginia",180719,182965
1600000US5157000,"Norfolk, Virginia",242803,245428
1600000US5167000,"Richmond, Virginia",204214,217853
1600000US5182000,"Virginia Beach, Virginia",437994,450980
1600000US5305210,"Bellevue, Washington",122363,136426
1600000US5322640,"Everett, Washington",103019,106741
1600000US5335415,"Kent, Washington",92411,125547
1600000US5363000,"Seattle, Washington",608660,668337
1600000US5367000,"Spokane, Washington",208916,212067
1600000US5370000,"Tacoma, Washington",198397,205153
1600000US5374060,"Vancouver, Washington",161791,169303
1600000US5531000,"Green Bay, Wisconsin",104057,104893
1600000US5548000,"Madison, Wisconsin",233209,245674
1600000US5553000,"Milwaukee, Wisconsin",594833,599653
