Year,Month,Date,Album,Artist,Label,Genre,AlbumURL,AlbumImageURL
2016,5,21,Views,Drake,OVO Sound,dancehall,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,OVO Sound,r&b,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,Young Money,hip hop ,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,Young Money,dancehall,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,Young Money,r&b,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,BBK,hip hop ,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,BBK,dancehall,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,BBK,r&b,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,Republic,hip hop ,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,Republic,dancehall,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
2016,5,21,Views,Drake,;,r&b,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
